hjd mag mag_err
2455680.73445 15.762 0.004
2455680.78395 15.769 0.005
2455680.83683 15.758 0.004
2455680.88076 15.764 0.004
2455680.92102 15.751 0.004
2455681.68619 15.746 0.005
2455681.72435 15.753 0.004
2455681.76409 15.746 0.004
2455681.82672 15.74 0.004
2455681.8714 15.755 0.005
2455681.91136 15.76 0.004
2455682.67338 15.738 0.005
2455682.71517 15.753 0.005
2455682.76282 15.737 0.004
2455682.81462 15.744 0.004
2455682.89482 15.746 0.004
2455682.93381 15.745 0.005
2455683.69596 15.738 0.004
2455683.76666 15.733 0.004
2455683.81515 15.742 0.004
2455683.8759 15.737 0.004
2455683.91676 15.742 0.004
2455684.67808 15.739 0.004
2455684.72844 15.739 0.004
2455684.77934 15.731 0.004
2455684.83144 15.74 0.004
2455684.88999 15.739 0.004
2455684.93018 15.729 0.005
2455685.76519 15.725 0.004
2455685.80472 15.725 0.004
2455685.85701 15.729 0.004
2455685.90106 15.726 0.004
2455686.65346 15.717 0.004
2455686.71542 15.724 0.004
2455686.76082 15.716 0.004
2455686.81166 15.726 0.004
2455686.86186 15.727 0.004
2455686.9005 15.724 0.005
2455687.65478 15.711 0.005
2455687.69855 15.705 0.005
2455687.75095 15.706 0.004
2455687.79293 15.695 0.004
2455687.84521 15.698 0.003
2455688.86815 15.702 0.003
2455688.92568 15.704 0.005
2455689.68797 15.691 0.004
2455689.7528 15.693 0.004
2455689.80215 15.695 0.004
2455690.64054 15.68 0.004
2455690.69075 15.68 0.004
2455690.74754 15.682 0.004
2455690.79204 15.684 0.004
2455690.83581 15.673 0.005
2455690.90396 15.675 0.005
2455691.64786 15.683 0.005
2455691.7092 15.68 0.004
2455691.75968 15.668 0.004
2455691.80397 15.674 0.004
2455691.85247 15.684 0.004
2455691.90965 15.678 0.004
2455692.65117 15.662 0.005
2455692.70785 15.668 0.004
2455692.75513 15.667 0.004
2455692.79309 15.674 0.004
2455692.83344 15.671 0.004
2455692.87209 15.668 0.004
2455692.90976 15.677 0.004
2455693.62375 15.667 0.005
2455693.66022 15.662 0.004
2455693.72961 15.666 0.004
2455693.77867 15.668 0.004
2455693.81725 15.676 0.004
2455693.85542 15.664 0.004
2455693.8933 15.662 0.004
2455693.93509 15.667 0.005
2455694.63646 15.662 0.004
2455694.67143 15.678 0.004
2455694.73642 15.683 0.004
2455694.78397 15.66 0.004
2455694.82621 15.659 0.004
2455694.86346 15.67 0.004
2455694.90107 15.666 0.004
2455694.94021 15.663 0.006
2455695.6466 15.673 0.005
2455695.69494 15.658 0.004
2455695.78262 15.665 0.004
2455695.82648 15.668 0.004
2455695.86561 15.659 0.004
2455695.90305 15.662 0.004
2455695.94104 15.655 0.005
2455696.63107 15.663 0.004
2455696.68275 15.666 0.004
2455696.7302 15.665 0.004
2455696.76944 15.649 0.005
2455696.81158 15.662 0.004
2455696.85412 15.665 0.004
2455696.90448 15.665 0.004
2455697.6048 15.658 0.005
2455697.6404 15.653 0.004
2455697.69801 15.658 0.004
2455697.73545 15.666 0.004
2455697.77643 15.645 0.004
2455697.81794 15.652 0.004
2455697.85613 15.666 0.004
2455697.90022 15.655 0.004
2455697.94065 15.652 0.006
2455698.6331 15.645 0.005
2455698.68238 15.651 0.005
